TripNumber,TripDate,FromPos,ToPos,Distance,DriverName,DriverType,Revenue,DieselCost,OtherExpensesCost,ExternalTransportCost,TotalCost,Profit,TripYear,TripMonth,TripDay,TripQuarter,TripWeekday
TR0034,2023-06-28,JEDDAH,MADINAH,856,Faisal Nasser,Internal,3786.38,584.32,144.45,0.0,728.77,3057.61,2023,6,28,2,Wednesday
TR0035,2023-12-01,BURAIDAH,RIYADH,1467,Hamad Saleh,External,7488.17,826.38,544.3,297.05,1667.73,5820.44,2023,12,1,4,Friday
TR0036,2023-02-24,YANBU,BURAIDAH,418,Faisal Nasser,External,5036.22,865.03,162.25,479.12,1506.4,3529.82,2023,2,24,1,Friday
TR0037,2023-05-16,BURAIDAH,TABUK,614,Saleh Ayed,Internal,1192.24,169.72,43.64,0.0,213.36,978.88,2023,5,16,2,Tuesday
TR0038,2023-01-02,TAIF,DAMMAM,1404,Faisal Nasser,Internal,6059.23,940.2,276.67,0.0,1216.87,4842.36,2023,1,2,1,Monday
TR0039,2023-01-05,JEDDAH,DAMMAM,405,Turki Salem,Internal,6759.46,1069.69,195.25,0.0,1264.94,5494.52,2023,1,5,1,Thursday
TR0040,2023-03-07,RIYADH,TAIF,846,Saleh Ayed,Internal,7241.93,876.33,253.26,0.0,1129.59,6112.34,2023,3,7,1,Tuesday
TR0041,2023-02-22,TAIF,HAIL,932,Fahad Majed,Internal,7443.23,920.53,221.44,0.0,1141.97,6301.26,2023,2,22,1,Wednesday
TR0042,2023-04-01,ABHA,RIYADH,467,Majed Saud,External,6367.9,898.96,383.31,702.12,1984.39,4383.51,2023,4,1,2,Saturday
TR0043,2023-05-08,MADINAH,DAMMAM,321,Saeed Turki,Internal,6939.45,848.3,478.79,0.0,1327.09,5612.36,2023,5,8,2,Monday
TR0044,2023-08-24,TAIF,MADINAH,566,Abdullah Hassan,Internal,5450.25,762.2,200.11,0.0,962.31,4487.94,2023,8,24,3,Thursday
TR0045,2023-02-05,MADINAH,ABHA,1413,Turki Salem,External,5596.39,1031.78,223.12,23.17,1278.07,4318.32,2023,2,5,1,Sunday
TR0046,2023-05-14,DAMMAM,JUBAIL,643,Ahmed Ali,Internal,4974.28,669.38,334.2,0.0,1003.58,3970.7,2023,5,14,2,Sunday
TR0047,2023-08-12,HAIL,BURAIDAH,336,Saeed Turki,Internal,2410.42,411.89,48.45,0.0,460.34,1950.08,2023,8,12,3,Saturday
TR0048,2023-10-03,JUBAIL,YANBU,503,Omar Khalid,External,1024.8,170.55,40.8,48.26,259.61,765.19,2023,10,3,4,Tuesday
TR0049,2023-03-05,YANBU,MADINAH,1138,Faisal Nasser,External,2946.37,500.06,156.94,84.78,741.78,2204.59,2023,3,5,1,Sunday
TR0050,2023-12-07,ABHA,YANBU,456,Fahad Majed,External,3545.56,650.16,135.56,111.78,897.5,2648.06,2023,12,7,4,Thursday
TR0051,2023-10-24,HAIL,YANBU,759,Nasser Fahad,External,3816.2,463.17,184.67,515.86,1163.7,2652.5,2023,10,24,4,Tuesday
TR0052,2023-03-28,JUBAIL,JEDDAH,681,Turki Salem,External,1200.4,234.32,40.92,55.89,331.13,869.27,2023,3,28,1,Tuesday
TR0053,2023-04-12,DAMMAM,RIYADH,194,Abdullah Hassan,External,5084.55,899.2,240.63,675.84,1815.67,3268.88,2023,4,12,2,Wednesday
TR0054,2023-10-22,MAKKAH,TABUK,1112,Saeed Turki,Internal,1606.79,271.17,118.19,0.0,389.36,1217.43,2023,10,22,4,Sunday
TR0055,2023-02-24,ABHA,MAKKAH,460,Rashed Hamad,External,876.64,109.51,62.15,60.02,231.68,644.96,2023,2,24,1,Friday
TR0056,2023-08-26,JUBAIL,BURAIDAH,1244,Fahad Majed,External,7625.3,1442.27,432.81,822.7,2697.78,4927.52,2023,8,26,3,Saturday
TR0057,2023-09-16,ABHA,HAIL,1013,Saleh Ayed,Internal,6077.42,896.22,216.06,0.0,1112.28,4965.14,2023,9,16,3,Saturday
TR0058,2023-05-07,JUBAIL,MADINAH,1167,Nasser Fahad,Internal,2559.48,275.78,95.07,0.0,370.85,2188.63,2023,5,7,2,Sunday
TR0059,2023-05-20,TAIF,ABHA,1206,Mohammed Saeed,Internal,1631.23,225.6,47.58,0.0,273.18,1358.05,2023,5,20,2,Saturday
TR0060,2023-04-20,JEDDAH,TABUK,934,Omar Khalid,External,3618.31,436.67,163.58,491.1,1091.35,2526.96,2023,4,20,2,Thursday
TR0061,2023-10-27,YANBU,RIYADH,1279,Saeed Turki,External,544.22,73.57,35.49,69.67,178.73,365.49,2023,10,27,4,Friday
TR0062,2023-08-03,BURAIDAH,HAIL,1335,Saleh Ayed,Internal,4161.72,529.76,204.5,0.0,734.26,3427.46,2023,8,3,3,Thursday
TR0063,2023-07-19,TAIF,YANBU,1490,Rashed Hamad,External,5931.36,1091.67,445.88,872.55,2410.1,3521.26,2023,7,19,3,Wednesday
TR0064,2023-10-01,RIYADH,TABUK,1312,Fahad Majed,Internal,1129.61,161.38,81.34,0.0,242.72,886.89,2023,10,1,4,Sunday
TR0065,2023-04-04,RIYADH,TAIF,876,Omar Khalid,Internal,3910.24,522.99,284.58,0.0,807.57,3102.67,2023,4,4,2,Tuesday
TR0066,2023-05-23,ABHA,MADINAH,267,Nasser Fahad,Internal,6117.68,643.63,471.77,0.0,1115.4,5002.28,2023,5,23,2,Tuesday
TR0067,2023-04-25,JUBAIL,JEDDAH,1434,Ahmed Ali,Internal,7622.09,914.16,161.76,0.0,1075.92,6546.17,2023,4,25,2,Tuesday
TR0068,2023-03-20,MAKKAH,DAMMAM,1069,Salem Rashed,Internal,4729.77,576.07,293.09,0.0,869.16,3860.61,2023,3,20,1,Monday
TR0069,2023-07-08,DAMMAM,JUBAIL,1343,Majed Saud,Internal,6333.44,737.06,244.87,0.0,981.93,5351.51,2023,7,8,3,Saturday
TR0070,2023-10-24,RIYADH,TAIF,1279,Salem Rashed,External,3474.91,595.95,85.34,359.97,1041.26,2433.65,2023,10,24,4,Tuesday
TR0071,2023-11-18,MAKKAH,JEDDAH,717,Hamad Saleh,Internal,6471.7,1013.42,145.38,0.0,1158.8,5312.9,2023,11,18,4,Saturday
TR0072,2023-09-30,ABHA,YANBU,858,Mohammed Saeed,External,594.89,84.48,29.39,38.68,152.55,442.34,2023,9,30,3,Saturday
TR0073,2023-07-05,JUBAIL,TABUK,413,Saeed Turki,Internal,6003.46,1179.96,217.35,0.0,1397.31,4606.15,2023,7,5,3,Wednesday
TR0074,2023-10-03,TABUK,BURAIDAH,992,Hamad Saleh,External,2917.28,363.35,221.94,122.06,707.35,2209.93,2023,10,3,4,Tuesday
TR0075,2023-08-19,MAKKAH,BURAIDAH,1267,Fahad Majed,External,3022.97,451.72,119.41,221.08,792.21,2230.76,2023,8,19,3,Saturday
TR0076,2023-07-01,MADINAH,ABHA,672,Saleh Ayed,External,4668.43,708.03,146.88,169.01,1023.92,3644.51,2023,7,1,3,Saturday
TR0077,2023-07-28,TABUK,HAIL,592,Majed Saud,External,5344.27,796.74,361.14,74.6,1232.48,4111.79,2023,7,28,3,Friday
TR0078,2023-04-24,ABHA,MAKKAH,727,Salem Rashed,External,4049.45,619.94,184.37,453.09,1257.4,2792.05,2023,4,24,2,Monday
TR0079,2023-06-19,TAIF,BURAIDAH,654,Faisal Nasser,External,2229.04,383.68,86.78,248.39,718.85,1510.19,2023,6,19,2,Monday
TR0080,2023-12-20,DAMMAM,MADINAH,543,Majed Saud,External,2573.75,409.12,168.87,230.4,808.39,1765.36,2023,12,20,4,Wednesday
TR0081,2023-02-21,MAKKAH,TAIF,565,Omar Khalid,Internal,2767.01,472.61,76.36,0.0,548.97,2218.04,2023,2,21,1,Tuesday
TR0082,2023-01-24,RIYADH,HAIL,698,Majed Saud,Internal,5284.02,926.18,138.2,0.0,1064.38,4219.64,2023,1,24,1,Tuesday
TR0083,2023-01-07,HAIL,MADINAH,1061,Nasser Fahad,External,3055.29,600.52,107.39,394.92,1102.83,1952.46,2023,1,7,1,Saturday
TR0084,2023-02-28,JEDDAH,TABUK,1107,Mohammed Saeed,Internal,1637.95,296.66,126.04,0.0,422.7,1215.25,2023,2,28,1,Tuesday
TR0085,2023-02-13,MAKKAH,JEDDAH,1242,Rashed Hamad,External,5047.38,903.85,169.3,395.64,1468.79,3578.59,2023,2,13,1,Monday
TR0086,2023-08-19,TABUK,MADINAH,1305,Saeed Turki,External,4764.72,505.17,369.77,70.92,945.86,3818.86,2023,8,19,3,Saturday
TR0087,2023-04-17,JUBAIL,MAKKAH,641,Salem Rashed,Internal,1677.93,196.96,41.12,0.0,238.08,1439.85,2023,4,17,2,Monday
TR0088,2023-01-02,ABHA,BURAIDAH,1316,Nasser Fahad,External,744.8,95.94,27.53,96.04,219.51,525.29,2023,1,2,1,Monday
TR0089,2023-02-06,JUBAIL,MAKKAH,641,Rashed Hamad,Internal,3688.54,569.72,217.1,0.0,786.82,2901.72,2023,2,6,1,Monday
TR0090,2023-05-17,DAMMAM,JEDDAH,222,Khalid Omar,External,4962.83,905.34,373.56,326.92,1605.82,3357.01,2023,5,17,2,Wednesday
TR0091,2023-08-28,YANBU,MADINAH,924,Faisal Nasser,External,3783.19,604.57,277.56,416.83,1298.96,2484.23,2023,8,28,3,Monday
TR0092,2023-11-06,MADINAH,RIYADH,287,Abdullah Hassan,Internal,7996.79,1337.29,289.25,0.0,1626.54,6370.25,2023,11,6,4,Monday
TR0093,2023-01-21,DAMMAM,BURAIDAH,1162,Salem Rashed,External,7370.55,870.82,406.26,701.81,1978.89,5391.66,2023,1,21,1,Saturday
TR0094,2023-09-09,JEDDAH,BURAIDAH,812,Saeed Turki,External,2907.94,321.21,86.22,179.56,586.99,2320.95,2023,9,9,3,Saturday
TR0095,2023-09-11,MADINAH,YANBU,920,Hamad Saleh,Internal,3911.19,514.13,154.09,0.0,668.22,3242.97,2023,9,11,3,Monday
TR0096,2023-07-26,BURAIDAH,RIYADH,1446,Hamad Saleh,External,3599.36,427.45,150.12,408.41,985.98,2613.38,2023,7,26,3,Wednesday
TR0097,2023-11-17,TABUK,RIYADH,516,Faisal Nasser,Internal,7457.55,1072.48,461.59,0.0,1534.07,5923.48,2023,11,17,4,Friday
TR0098,2023-03-04,RIYADH,YANBU,1346,Rashed Hamad,Internal,5823.37,763.3,121.25,0.0,884.55,4938.82,2023,3,4,1,Saturday
TR0099,2023-07-28,JEDDAH,MADINAH,332,Nasser Fahad,Internal,5357.82,618.28,406.98,0.0,1025.26,4332.56,2023,7,28,3,Friday
TR0100,2023-05-30,BURAIDAH,MADINAH,950,Hamad Saleh,External,7851.83,976.56,416.74,451.78,1845.08,6006.75,2023,5,30,2,Tuesday
TR0101,2023-11-03,BURAIDAH,DAMMAM,242,Faisal Nasser,External,3049.06,545.09,109.86,1.17,656.12,2392.94,2023,11,3,4,Friday
TR0102,2023-06-02,HAIL,JUBAIL,1451,Nasser Fahad,Internal,3849.11,571.34,153.76,0.0,725.1,3124.01,2023,6,2,2,Friday
TR0103,2023-10-06,ABHA,BURAIDAH,759,Hamad Saleh,Internal,7855.81,973.18,337.63,0.0,1310.81,6545.0,2023,10,6,4,Friday
TR0104,2023-07-30,RIYADH,ABHA,1068,Majed Saud,External,3395.59,564.92,235.13,499.57,1299.62,2095.97,2023,7,30,3,Sunday
TR0105,2023-09-11,RIYADH,MAKKAH,1128,Fahad Majed,External,7022.75,1316.2,325.98,554.04,2196.22,4826.53,2023,9,11,3,Monday
TR0106,2023-08-22,RIYADH,MAKKAH,939,Hamad Saleh,Internal,1061.21,189.06,38.1,0.0,227.16,834.05,2023,8,22,3,Tuesday
TR0107,2023-11-16,YANBU,ABHA,1430,Mohammed Saeed,External,6892.56,1281.56,295.01,327.39,1903.96,4988.6,2023,11,16,4,Thursday
TR0108,2023-09-07,BURAIDAH,RIYADH,1364,Mohammed Saeed,Internal,5233.71,1005.36,417.89,0.0,1423.25,3810.46,2023,9,7,3,Thursday
TR0109,2023-02-16,ABHA,JEDDAH,1397,Majed Saud,Internal,3827.59,648.39,284.03,0.0,932.42,2895.17,2023,2,16,1,Thursday
TR0110,2023-01-24,TAIF,RIYADH,700,Omar Khalid,External,3730.15,464.1,166.82,381.48,1012.4,2717.75,2023,1,24,1,Tuesday
TR0111,2023-04-03,DAMMAM,MAKKAH,261,Fahad Majed,External,5147.83,638.76,384.9,110.51,1134.17,4013.66,2023,4,3,2,Monday
TR0112,2023-08-25,JUBAIL,MADINAH,1041,Faisal Nasser,Internal,7241.81,1061.11,269.81,0.0,1330.92,5910.89,2023,8,25,3,Friday
TR0113,2023-10-07,DAMMAM,JEDDAH,1004,Omar Khalid,External,5292.04,753.75,185.25,671.01,1610.01,3682.03,2023,10,7,4,Saturday
TR0114,2023-04-12,ABHA,BURAIDAH,318,Abdullah Hassan,External,4789.42,754.24,381.05,212.1,1347.39,3442.03,2023,4,12,2,Wednesday
TR0115,2023-12-04,ABHA,MADINAH,116,Fahad Majed,Internal,7329.63,1279.15,512.86,0.0,1792.01,5537.62,2023,12,4,4,Monday
TR0116,2023-05-27,MAKKAH,JUBAIL,821,Abdullah Hassan,Internal,5156.68,865.17,326.19,0.0,1191.36,3965.32,2023,5,27,2,Saturday
TR0117,2023-12-04,JUBAIL,DAMMAM,1386,Mohammed Saeed,Internal,2817.0,405.88,154.3,0.0,560.18,2256.82,2023,12,4,4,Monday
TR0118,2023-03-09,JEDDAH,TAIF,769,Majed Saud,External,1817.3,205.75,95.16,264.82,565.73,1251.57,2023,3,9,1,Thursday
TR0119,2023-09-29,BURAIDAH,MADINAH,436,Faisal Nasser,External,7755.38,1004.43,560.12,935.57,2500.12,5255.26,2023,9,29,3,Friday
TR0120,2023-08-28,JEDDAH,MAKKAH,562,Hamad Saleh,External,7754.52,1399.37,325.27,919.7,2644.34,5110.18,2023,8,28,3,Monday
TR0121,2023-01-08,MADINAH,HAIL,353,Nasser Fahad,External,5546.21,927.52,305.45,684.19,1917.16,3629.05,2023,1,8,1,Sunday
TR0122,2023-07-10,JEDDAH,YANBU,578,Nasser Fahad,Internal,5146.6,1000.07,204.22,0.0,1204.29,3942.31,2023,7,10,3,Monday
TR0123,2023-11-09,MAKKAH,YANBU,229,Salem Rashed,External,7320.41,953.26,325.74,153.48,1432.48,5887.93,2023,11,9,4,Thursday
TR0124,2023-01-20,MADINAH,BURAIDAH,337,Mohammed Saeed,Internal,7154.44,812.5,337.82,0.0,1150.32,6004.12,2023,1,20,1,Friday
TR0125,2023-12-10,YANBU,BURAIDAH,958,Fahad Majed,Internal,7140.6,1181.71,500.0,0.0,1681.71,5458.89,2023,12,10,4,Sunday
TR0126,2023-11-12,ABHA,MADINAH,167,Majed Saud,External,2129.52,307.65,72.76,115.85,496.26,1633.26,2023,11,12,4,Sunday
TR0127,2023-12-18,TAIF,HAIL,1420,Omar Khalid,Internal,3486.05,414.77,95.27,0.0,510.04,2976.01,2023,12,18,4,Monday
TR0128,2023-08-21,JEDDAH,YANBU,534,Salem Rashed,Internal,879.34,117.26,69.76,0.0,187.02,692.32,2023,8,21,3,Monday
TR0129,2023-10-17,MAKKAH,JEDDAH,1235,Abdullah Hassan,Internal,6597.9,813.52,438.51,0.0,1252.03,5345.87,2023,10,17,4,Tuesday
TR0130,2023-11-02,RIYADH,TAIF,396,Khalid Omar,External,6488.85,720.21,467.11,128.29,1315.61,5173.24,2023,11,2,4,Thursday
TR0131,2023-07-03,MAKKAH,JUBAIL,763,Ahmed Ali,Internal,2490.26,280.59,112.7,0.0,393.29,2096.97,2023,7,3,3,Monday
TR0132,2023-02-28,YANBU,JEDDAH,1075,Nasser Fahad,External,4349.28,482.36,218.47,616.78,1317.61,3031.67,2023,2,28,1,Tuesday
TR0133,2023-01-23,YANBU,JUBAIL,1167,Faisal Nasser,External,5325.06,549.09,425.55,676.79,1651.43,3673.63,2023,1,23,1,Monday
TR0134,2023-08-07,JUBAIL,JEDDAH,1104,Majed Saud,External,1051.18,113.61,59.39,10.36,183.36,867.82,2023,8,7,3,Monday
TR0135,2023-05-21,HAIL,YANBU,1298,Turki Salem,External,3356.78,536.21,126.53,254.55,917.29,2439.49,2023,5,21,2,Sunday
TR0136,2023-08-09,JEDDAH,DAMMAM,1440,Salem Rashed,Internal,3725.52,703.41,167.01,0.0,870.42,2855.1,2023,8,9,3,Wednesday
TR0137,2023-08-21,ABHA,TABUK,294,Omar Khalid,External,2843.93,356.88,219.6,292.99,869.47,1974.46,2023,8,21,3,Monday
TR0138,2023-08-31,JEDDAH,DAMMAM,274,Mohammed Saeed,External,1224.23,212.87,84.11,102.17,399.15,825.08,2023,8,31,3,Thursday
TR0139,2023-10-28,BURAIDAH,HAIL,775,Salem Rashed,Internal,3581.06,670.95,273.84,0.0,944.79,2636.27,2023,10,28,4,Saturday
TR0140,2023-08-05,YANBU,RIYADH,689,Fahad Majed,External,3137.35,495.05,102.79,309.06,906.9,2230.45,2023,8,5,3,Saturday
TR0141,2023-04-25,JEDDAH,ABHA,1239,Omar Khalid,Internal,6219.54,979.02,425.62,0.0,1404.64,4814.9,2023,4,25,2,Tuesday
TR0142,2023-10-15,HAIL,JUBAIL,1482,Salem Rashed,Internal,5067.46,840.1,312.2,0.0,1152.3,3915.16,2023,10,15,4,Sunday
TR0143,2023-01-15,DAMMAM,TAIF,732,Saleh Ayed,External,3132.68,370.1,89.58,308.89,768.57,2364.11,2023,1,15,1,Sunday
TR0144,2023-02-05,DAMMAM,YANBU,162,Mohammed Saeed,Internal,3321.46,482.82,97.8,0.0,580.62,2740.84,2023,2,5,1,Sunday
TR0145,2023-06-09,YANBU,TAIF,1262,Fahad Majed,Internal,7125.07,823.36,465.03,0.0,1288.39,5836.68,2023,6,9,2,Friday
TR0146,2023-01-26,JUBAIL,JEDDAH,657,Nasser Fahad,External,4142.46,597.36,150.74,469.1,1217.2,2925.26,2023,1,26,1,Thursday
TR0147,2023-02-28,TAIF,TABUK,327,Faisal Nasser,External,4452.01,582.51,147.95,657.41,1387.87,3064.14,2023,2,28,1,Tuesday
TR0148,2023-01-29,RIYADH,MADINAH,717,Abdullah Hassan,Internal,6231.21,803.48,169.48,0.0,972.96,5258.25,2023,1,29,1,Sunday
TR0149,2023-09-12,YANBU,ABHA,459,Khalid Omar,External,4494.37,552.86,240.55,450.37,1243.78,3250.59,2023,9,12,3,Tuesday
TR0150,2023-07-01,JEDDAH,TABUK,186,Saeed Turki,Internal,3948.16,425.56,153.12,0.0,578.68,3369.48,2023,7,1,3,Saturday
TR0151,2023-08-08,HAIL,ABHA,1411,Saeed Turki,External,1363.8,139.22,53.85,163.93,357.0,1006.8,2023,8,8,3,Tuesday
TR0152,2023-11-13,TABUK,TAIF,280,Saeed Turki,Internal,2324.87,369.39,119.59,0.0,488.98,1835.89,2023,11,13,4,Monday
TR0153,2023-07-22,MADINAH,ABHA,553,Omar Khalid,Internal,1072.85,175.22,55.61,0.0,230.83,842.02,2023,7,22,3,Saturday
TR0154,2023-04-10,TAIF,ABHA,1421,Hamad Saleh,Internal,2272.02,260.47,72.33,0.0,332.8,1939.22,2023,4,10,2,Monday
TR0155,2023-11-05,DAMMAM,YANBU,254,Khalid Omar,External,3979.65,622.31,217.96,406.6,1246.87,2732.78,2023,11,5,4,Sunday
TR0156,2023-10-17,JUBAIL,YANBU,1379,Omar Khalid,External,1632.18,174.36,75.95,74.14,324.45,1307.73,2023,10,17,4,Tuesday
TR0157,2023-05-21,HAIL,RIYADH,820,Turki Salem,Internal,2828.06,410.61,66.21,0.0,476.82,2351.24,2023,5,21,2,Sunday
TR0158,2023-05-27,JEDDAH,YANBU,284,Fahad Majed,External,3970.34,617.12,268.03,533.54,1418.69,2551.65,2023,5,27,2,Saturday
TR0159,2023-08-19,HAIL,YANBU,485,Omar Khalid,External,4260.25,834.04,200.37,518.24,1552.65,2707.6,2023,8,19,3,Saturday
TR0160,2023-06-25,YANBU,JEDDAH,1133,Salem Rashed,Internal,793.57,135.51,63.06,0.0,198.57,595.0,2023,6,25,2,Sunday
TR0161,2023-09-26,BURAIDAH,JUBAIL,425,Omar Khalid,External,7384.53,1024.54,490.83,752.0,2267.37,5117.16,2023,9,26,3,Tuesday
TR0162,2023-01-27,JUBAIL,YANBU,785,Mohammed Saeed,External,1208.79,202.88,44.78,131.23,378.89,829.9,2023,1,27,1,Friday
TR0163,2023-12-03,HAIL,DAMMAM,782,Mohammed Saeed,Internal,7375.6,966.37,437.84,0.0,1404.21,5971.39,2023,12,3,4,Sunday
TR0164,2023-12-06,ABHA,DAMMAM,1318,Majed Saud,Internal,2821.86,388.48,190.47,0.0,578.95,2242.91,2023,12,6,4,Wednesday
TR0165,2023-03-07,JUBAIL,YANBU,1178,Mohammed Saeed,External,4313.66,439.23,166.21,615.45,1220.89,3092.77,2023,3,7,1,Tuesday
TR0166,2023-06-24,TABUK,MAKKAH,563,Khalid Omar,Internal,1078.74,198.97,28.12,0.0,227.09,851.65,2023,6,24,2,Saturday
TR0167,2023-10-04,YANBU,BURAIDAH,177,Salem Rashed,External,7072.95,1144.43,394.92,163.65,1703.0,5369.95,2023,10,4,4,Wednesday
TR0168,2023-04-03,YANBU,HAIL,439,Majed Saud,External,827.69,112.92,52.29,120.38,285.59,542.1,2023,4,3,2,Monday
TR0169,2023-11-09,MADINAH,BURAIDAH,579,Turki Salem,Internal,2821.01,510.21,135.81,0.0,646.02,2174.99,2023,11,9,4,Thursday
TR0170,2023-04-10,TAIF,YANBU,1268,Nasser Fahad,External,6270.79,1115.02,314.63,393.8,1823.45,4447.34,2023,4,10,2,Monday
TR0171,2023-03-24,MAKKAH,JUBAIL,383,Hamad Saleh,External,891.35,131.97,37.68,124.92,294.57,596.78,2023,3,24,1,Friday
TR0172,2023-12-31,BURAIDAH,JEDDAH,683,Mohammed Saeed,Internal,2545.93,485.08,73.43,0.0,558.51,1987.42,2023,12,31,4,Sunday
TR0173,2023-08-12,JEDDAH,MADINAH,1023,Saleh Ayed,External,7478.54,1058.14,327.46,419.5,1805.1,5673.44,2023,8,12,3,Saturday
TR0174,2023-07-17,JEDDAH,ABHA,559,Ahmed Ali,External,7481.19,1375.92,441.37,888.07,2705.36,4775.83,2023,7,17,3,Monday
TR0175,2023-03-12,RIYADH,TAIF,1067,Majed Saud,Internal,6191.31,909.57,352.41,0.0,1261.98,4929.33,2023,3,12,1,Sunday
